indicator,ISO Country code,happy planet index : 2019,human development index : 2021,sustainable economic development assessment (SEDA) : 2018,population : 2018,surface area (Km2) : 2018,"GDP growth
(annual %) : 2021 or latest year","GDP 
($ USD billions PPP) : 2021",GDP per capita in $ (PPP) : 2021,Economic Growth : 2021 or latest,"health expenditure 
per person : 2019",infant mortality : 2020,"maternal mortality per 100,000 live births : 2017 (latest year)","education expenditure
% of GDP : 2021 or latest year",Education as % of GDP : 2021 or latest,% of primary school aged kids out of school : 2021 or latest year,unemployment (%) : 2021,% of population in extreme poverty : latest year,% of population with access to electricity : 2020,political rights score : 2022,civil liberties score : 2022,political stability & absence of violence : 2021,government effectiveness : 2021,regulatory quality : 2021,rule of law : 2021,control of corruption : 2021,judicial effectiveness score : 2022,government integrity score : 2022,overall economic freedom score : 2022,financial freedom score : 2022,government expenditure (% of GDP) : 2018,CO2e emissions per capita : 2019,share of electricity from renewables generation : 2020 or latest year,% of seats held by women in national parliaments : 2021,Military Spending as % of GDP : 2021
Djibouti,DJI,-,0.509,-,"1,000,000","23,180",4.31,5.4,5926,4.31,61.8,31.7,248,,3.63,33.48,28.39,,61.8,5,19,-0.71,-0.8,-0.9,-1.009,-0.78,28.3,24.5,55.3,50,49.3,0.43,1.7,26,
Dominican Republic,DOM,54.8,0.767,48.1,"11,000,000","48,320",12.27,207.1,20769,12.27,491.1,19.5,95,4.7,4.62,4.11,8.5,0.4,100,27,41,0.14,0,0.1,-0.096,-0.57,55.9,30.8,63,40,17.7,2.54,10.9,28,0.65
Ecuador,ECU,58.8,0.74,48.1,"17,000,000","276,841",4.24,189.9,11661,4.24,486.5,16.6,59,4.13,4.13,1.38,6.43,2.1,98.8,31,40,-0.27,-0.2,-0.7,-0.339,-0.57,47.3,37.2,54.3,40,39.8,2.26,81.2,39,2.46
Egypt,EGY,43.2,0.731,43.1,"98,000,000","995,450",3.33,"1,263.70",13316,3.33,149.8,3.1,37,2.48,2.48,,9.33,,100,6,12,-1.02,-0.4,-0.5,-0.245,-0.68,22.1,28.7,49.1,50,34.1,2.48,9.6,28,1.3
El Salvador,SLV,56.3,0.675,47.2,"6,000,000","20,721",10.8,57.4,9669,10.8,300.1,1.6,46,3.39,3.39,,5.94,0.3,100,26,33,-0.21,-0.3,-0.3,-0.848,-0.53,46.8,36.1,59.6,60,21.3,1.21,71.2,27,1.37
Equatorial Guinea,GNQ,-,0.596,-,"800,000","28,051",-0.95,23.9,18127,-0.95,254.9,3.6,301,,-,,9.24,,66.7,0,5,-0.29,-1.2,-1.7,-1.197,-1.57,6.9,6.5,47.2,30,36.1,3.95,10.6,23,1.31
Eritrea,ERI,-,0.492,-,"5,000,000","101,000",,0,,,25.3,2.7,480,,-,,8.05,,52.2,1,2,-1.01,-1.7,-2.3,-1.572,-1.24,3.9,11.1,39.7,20,28.5,0.25,5.3,22,
Estonia,EST,34.4,0.89,70.8,"1,300,000","42,388",8.35,50.8,42192,8.35,1598.8,35.4,9,,-,,6.33,0.3,100,38,56,0.76,1.4,1.6,1.428,1.54,92.3,83.9,80,70,39.8,7.67,44.2,26,2.16
Eswatini,SWZ,35.3,0.597,-,"1,100,000","17,204",7.43,10.5,9816,7.43,264.1,,437,5,5,,25.76,,79.7,1,16,-0.03,-0.7,-0.6,-0.561,-0.65,36.9,32.1,51.4,40,34.1,0.84,54.6,10,1.7
Ethiopia,ETH,41.7,0.498,32.3,"105,000,000","1,000,000",5.64,278.9,2600,5.64,26.7,3.2,401,,5.07,12.79,3.69,,51.1,12,11,-2.07,-0.6,-0.9,-0.606,-0.4,20.5,33.2,49.6,20,17.7,0.16,100,43,0.53
Fiji,FJI,-,0.73,49,"900,000","18,274",-4.08,9.9,12060,-4.08,235.7,3.4,34,5.07,5.07,1.18,5.24,0.2,100,23,35,0.67,0.6,0,0.311,0.47,43.4,54.3,56.4,50,32.6,1.83,57.9,22,1.65
Finland,FIN,51.3,0.94,81.3,"6,000,000","303,815",3.47,271.2,55007,3.47,4450.3,23,3,,-,,7.53,0,100,40,60,0.98,2,1.9,2.058,2.27,97.8,96.4,78.3,80,57.1,7.37,53.2,46,2.03
France,FRA,51.8,0.903,73.9,"67,000,000","549,970",6.96,"3,050.10",50729,6.96,4491.7,,8,,-,,8.06,0,100,38,51,0.37,1.3,1.2,1.289,1.31,85.5,75.9,65.9,70,57,4.47,23.7,40,1.95
Gabon,GAB,39.9,0.706,40.9,"1,900,000","257,667",1.51,32.4,15598,1.51,215,3.6,252,3.18,3.18,,22.26,,91.6,3,18,-0.09,-0.8,-0.8,-0.696,-0.85,18.6,24.4,55.8,40,22.6,2.42,58.2,16,1.71
"Gambia, The",GMB,-,0.5,-,"2,100,000","10,120",5.63,5.5,2434,5.63,29.7,51.4,597,2.76,2.76,13.63,11.21,,62.3,21,26,0.18,-0.6,-0.9,-0.386,-0.36,37.2,38.1,58,50,29.4,0.25,1,9,0.75
Georgia,GEO,44.3,0.802,55.4,"3,700,000","69,700",10.36,57.4,16997,10.36,291.1,33,25,3.85,3.85,0.62,10.66,1.5,100,22,36,-0.42,0.7,1.1,0.171,0.69,56.4,64.4,71.8,70,29.8,2.72,75.9,19,1.67
Germany,DEU,52.7,0.942,79.6,"83,000,000","348,672",2.89,"4,400.10",57928,2.89,5440.3,47.2,7,,-,,3.54,0,100,39,55,0.76,1.3,1.6,1.609,1.81,95.3,89.4,76.1,70,44.2,7.91,48.6,35,1.34
Ghana,GHA,39.5,0.632,40.2,"29,000,000","227,533",5.36,178.5,6178,5.36,75.3,,308,,-,5.98,4.7,,85.9,35,45,0.07,-0.1,-0.2,-0.081,-0.11,57,45.4,59.8,60,26.5,0.66,38.5,15,0.49
Greece,GRC,48.8,0.887,64.1,"11,000,000","130,647",8.34,313.8,31295,8.34,1500.6,14.5,3,,-,0.89,14.8,0.4,100,37,50,0.15,0.4,0.4,0.35,0.21,69.9,52.3,61.5,50,51.3,5.6,43.6,22,3.87
Guatemala,GTM,57.9,0.627,42.5,"17,000,000","107,159",7.53,152.1,9769,7.53,271,,95,3.3,3.3,10.55,3.57,,97.1,21,30,-0.39,-0.8,-0.3,-1.093,-1.17,36.9,26.5,63.2,50,12.5,1.16,75.4,19,0.44
Guinea,GIN,38.1,0.465,28.3,"13,000,000","245,717",3.12,35.4,2879,3.12,43,34.7,576,2.2,2.2,14.46,6.34,3.1,44.7,10,24,-0.97,-0.9,-1,-1.131,-1,27.8,25.6,54.2,40,25.4,0.31,63.6,17,1.48
Guinea-Bissau,GNB,-,0.483,-,"1,700,000","28,120",3.8,3.8,2057,3.8,62.6,58.3,667,2.71,2.71,,6.76,4.7,33.3,17,26,-0.28,-1.4,-1.3,-1.438,-1.3,14,15.9,46,30,21.9,0.17,2.4,14,1.78
Guyana,GUY,-,0.714,42.8,"800,000","196,849",19.93,17.6,24494,19.93,325.9,4.1,169,,-,,16.42,,92.5,30,43,-0.14,-0.2,-0.5,-0.398,-0.17,47.4,41.5,59.5,30,31.2,3.64,2.4,36,0.96
Haiti,HTI,38.2,0.535,24.2,"11,000,000","27,560",-1.8,32.9,3127,-1.8,57,3.4,480,,-,,15.73,,46.9,11,22,-1.1,-2.2,-1.3,-1.251,-1.42,18.6,14.3,50,30,21.9,0.29,13.6,,0.19
Honduras,HND,57.7,0.621,41.9,"9,000,000","111,890",12.53,57.3,6253,12.53,187.6,45.6,65,6.44,6.44,,8.51,4.3,93.2,21,26,-0.61,-0.8,-0.5,-1.072,-1.07,29,25.4,59.5,60,27.9,1.05,57.5,27,1.61
Hungary,HUN,45.4,0.846,66.1,"10,000,000","89,608",7.1,325.5,65973,7.1,1062.4,17.3,12,,-,2.47,4.12,0.1,100,26,43,0.86,0.6,0.5,0.531,0.04,62.2,44.4,66.9,70,48.5,4.75,17.9,13,1.64
Iceland,ISL,48,0.959,83.7,"300,000","100,250",3.7,19.9,36753,3.7,6275,2.9,4,,-,5.47,5.4,,100,37,57,1.37,1.6,1.5,1.755,1.79,94.8,85.3,77,70,43.1,4.55,100,48,
India,IND,36.4,0.633,40,"1,339,000,000","2,973,193",8.95,"9,301.50",7334,8.95,63.7,,145,4.47,4.47,5.37,5.98,1.8,99,33,33,-0.62,0.3,-0.1,-0.081,-0.29,51.5,42.4,53.9,40,27.3,1.8,21.7,14,2.66
Indonesia,IDN,49.6,0.705,46.4,"264,000,000","1,811,569",3.69,"3,246.20",12904,3.69,120.1,42.6,177,2.84,2.84,,4.41,0.5,96.9,30,29,-0.51,0.4,0.3,-0.225,-0.43,43.2,39.9,64.4,60,17.6,2.29,17.7,21,0.7
Iran,IRN,43.6,0.774,48,"81,000,000","1,531,595",1.76,0,,1.76,470.4,21.3,16,3.59,3.59,0.14,11.46,0.2,100,4,10,-1.62,-0.9,-1.6,-0.947,-1.1,29.4,19.8,42.4,10,17.2,7.6,9.4,6,2.3
Iraq,IRQ,45.3,0.686,37,"38,000,000","437,367",2.78,390.2,10409,2.78,253.3,1.5,79,,-,,14.19,,100,16,13,-2.4,-1.3,-1.1,-1.732,-1.25,-,-,-,-,42.7,4.44,2.8,29,2.28
Ireland,IRL,51.1,0.945,80.3,"4,700,000","68,883",13.48,513.7,106456,13.48,5428.6,11.1,5,,-,0.14,6.63,,100,39,58,0.86,1.5,1.6,1.53,1.65,93,80.7,82,70,31.9,7.25,42.4,23,0.26
Israel,ISR,48.2,0.919,66.5,"9,000,000","20,330",8.19,389.4,43722,8.19,3456.4,2.5,3,,-,0.5,5.05,0.2,100,34,42,-1.06,1.3,1.2,0.942,0.86,85,65.2,68,70,40.1,6.92,6.3,28,5.17
Italy,ITA,50.7,0.895,69.1,"61,000,000","294,140",6.64,"2,477.10",45936,6.64,2905.5,11.4,2,,-,3.5,9.83,1,100,36,54,0.58,0.4,0.5,0.269,0.54,78.6,57.3,65.4,50,50.3,5.31,44.2,36,1.52
Jamaica,JAM,57.9,0.709,49.7,"2,800,000","10,831",4.6,27.1,10026,4.6,327.4,12.9,80,6.03,6.03,33.3,9.18,,100,34,46,0.22,0.4,0.2,-0.168,-0.03,70.6,49,67.4,50,27.6,2.85,11.9,29,1.41
Japan,JPN,47.1,0.925,75.2,"127,000,000","364,485",1.62,"5,124.00",42940,1.62,4360.5,8.9,5,,-,,2.8,,100,40,56,1.03,1.4,1.4,1.579,1.57,95.3,81.4,69.9,60,39.1,8.54,25.8,10,1.07
Jordan,JOR,43.9,0.72,48.7,"10,000,000","88,802",2.21,102.4,10952,2.21,334,1.8,46,2.99,-,20.08,19.25,,99.9,11,22,-0.28,0.2,0.2,0.213,0.05,42.6,49.5,60.1,60,32,2.44,15.5,12,5.02
Kazakhstan,KAZ,38.6,0.811,57.7,"18,000,000","2,699,700",4,494.7,28600,4,273,31.2,10,2.86,-,9.61,4.9,0,100,5,18,-0.25,0.1,0.1,-0.487,-0.24,34.5,37.9,64.4,50,22.2,11.46,11.1,27,0.87
Kenya,KEN,45.2,0.575,35.4,"50,000,000","569,140",7.52,251.4,5024,7.52,83.4,15.7,342,4.8,4.8,,5.74,,71.4,19,29,-1.09,-0.3,-0.4,-0.39,-0.71,39,30.9,52.6,50,27.4,0.42,88.5,22,1.12
Korea (Dem. People’s Rep.),PRK,-,-,-,"25,000,000","120,408",,0,,-,,2.7,89,,-,,2.59,,52.3,0,3,-0.45,-1.6,-2.3,-1.626,-1.61,6.5,3.8,3,0,-,2.18,7.6,18,
Korea (Rep.),KOR,39.8,0.925,-,"51,000,000","96,920",4.02,"2,282.80",,4.02,2624.5,7.6,11,,-,0.01,3.53,,100,33,50,0.66,1.4,1.1,1.127,0.76,77.1,69.2,74.6,60,32.3,11.8,85,19,2.78
Kosovo,-,-,-,-,"1,900,000","10,887",9.13,20.9,46918,9.13,,45.7,,,-,,,,,25,31,-0.12,-0.2,-0.3,-0.275,-0.32,31,37.5,60.1,30,27.1,,,,0.94
Kuwait,KWT,33.3,0.831,65.7,"4,200,000","17,818",-8.86,0,,-,1758.7,13.7,12,6.55,6.55,,3.71,,100,14,23,0.3,0,0.2,0.261,-0.03,42,43.8,58.3,60,51.5,22.02,0.1,2,6.69
Kyrgyzstan,KGZ,53.7,0.692,45.4,"6,000,000","191,801",3.61,32.2,5288,3.61,62.1,22,60,5.37,5.37,0.12,9.1,0.2,100,4,23,-0.43,-0.7,-0.6,-1.074,-1.12,11.8,28.8,55.8,50,37.3,1.56,92.4,20,1.67
Laos,LAO,42.8,0.607,37.8,"7,000,000","230,800",2.53,58.3,8674,2.53,68.2,6,185,2.23,2.23,8.24,1.26,1.2,100,2,11,0.73,-0.6,-0.9,-0.642,-1.04,11.1,20.4,49.2,20,26.3,2.61,64.4,22,
Latvia,LVA,34.1,0.863,66.1,"2,000,000","62,249",4.48,59.7,34469,4.48,1166.8,,19,,-,1.18,7.6,0.2,100,37,51,0.69,0.9,1.2,0.981,0.75,75.1,61.1,74.8,60,37,3.96,66.6,29,2.28
Lebanon,LBN,39,0.706,44.8,"4,600,000","10,230",-10.52,65.9,10691,-10.52,663.1,58.1,29,2.59,,,14.49,,100,13,29,-1.49,-1.3,-0.9,-1.074,-1.23,27.4,22.8,47.3,50,26.9,4.08,3.9,5,
Lesotho,LSO,27.3,0.514,29.5,"1,900,000","30,355",1.02,5.3,2682,1.02,124.2,7.7,544,8.7,8.7,,24.6,,47.4,27,36,-0.22,-0.9,-0.7,-0.41,-0.32,44.1,42.8,48.1,40,50.4,0.36,100,23,1.29
Liberia,LBR,46,0.481,30.6,"4,400,000","96,320",4,7.3,1553,4,52.6,9.5,661,2.69,2.69,,4.09,,27.5,27,33,-0.24,-1.4,-1,-0.926,-0.92,23.4,25.1,47.9,20,36.8,0.24,1.3,11,0.95
Libya,LBY,42.7,0.718,-,"6,000,000","1,759,540",31.37,147.9,23357,31.37,,22,72,,-,,19.58,,69.7,1,8,-2.37,-1.7,-2,-1.784,-1.57,-,-,-,-,92.9,8.38,0,16,
Lithuania,LTU,36.9,0.875,67.4,"2,900,000","62,680",5,108.9,42665,5,1370,2.3,8,,-,0.1,7.9,0.4,100,38,51,0.82,1.1,1.3,1.11,0.85,74.6,66.6,75.8,70,34.7,4.2,71.3,28,2.02
Luxembourg,LUX,31.7,0.93,83.2,"600,000","2,586",6.89,75.8,134754,6.89,6220.7,3.4,5,,-,0.62,5.23,0.1,100,38,59,1.21,1.7,1.9,1.787,1.87,96.4,89.5,80.6,80,41.4,15.31,,35,0.63
Macedonia,MKD,43.9,-,52.5,"2,100,000","25,433",3.96,34,17918,3.96,436.9,,,,-,3.53,16.2,1.2,100,28,39,0.12,-0.1,0.4,-0.076,-0.35,50.2,38.7,65.7,60,31.5,4,28.6,,1.54
Madagascar,MDG,44.2,0.501,31.1,"26,000,000","581,540",4.4,42.3,1635,4.4,19.8,5.5,335,3.1,3.1,2.32,2.59,,33.7,27,34,-0.64,-1,-0.8,-0.867,-0.93,33.4,23,58.9,50,15.4,0.15,41.3,18,0.77
Malawi,MWI,38.7,0.512,32.5,"19,000,000","94,080",2.75,29.7,1658,2.75,30.4,7.4,349,2.91,3.71,,7.02,29.3,14.9,29,37,-0.11,-0.8,-0.8,-0.238,-0.3,53,29.4,53,50,31.3,0.08,88.8,23,0.95
Malaysia,MYS,41.7,0.803,59.8,"32,000,000","328,657",3.13,883.6,29617,3.13,436.6,5.3,29,3.92,3.92,1.6,4.61,,100,20,30,0.14,1,0.7,0.558,0.17,57.6,53.9,68.1,50,24.9,7.93,17.9,15,1.06
Maldives,MDV,-,0.747,-,"400,000",298,30.96,9,18232,30.96,854.4,17.8,53,4.12,4.12,2,6.08,,100,19,21,0.5,0.4,-0.5,-0.172,-0.37,32.1,43.1,47.3,30,42.6,3.97,0.4,5,
Mali,MLI,39.3,0.428,29.7,"19,000,000","1,220,190",3.07,46.5,2447,3.07,34.3,5.6,562,3.76,3.76,,7.72,3,50.6,8,24,-2.35,-1.2,-0.6,-0.902,-0.87,34.1,28.3,55.9,40,22.2,0.3,31.5,27,2.82
Malta,MLT,43.5,0.918,68.8,"400,000",316,9.41,22.9,47714,9.41,2531.9,35,6,,,,3.5,0.1,100,35,54,0.97,0.9,0.8,0.864,0.32,89.9,55.8,71.5,50,40.4,3.29,11.5,13,0.51
Mauritania,MRT,34.7,0.556,28.9,"3,800,000","1,030,700",2.3,24.3,5592,2.3,57.9,14.8,766,15.75,15.75,23.14,11.46,,47.3,14,21,-0.67,-0.7,-1.1,-0.671,-0.82,29.9,23.5,55.3,40,30.1,0.87,,20,2.38
Mauritius,MUS,51.5,0.802,60.2,"1,300,000","2,030",4.04,25.6,22240,4.04,685.9,29,61,1.88,1.88,0.33,7.41,,99.7,36,50,0.86,0.8,1.2,0.873,0.47,81.7,56.5,70.9,70,25.4,3.29,24.6,20,0.17
Mexico,MEX,54.3,0.758,49.1,"129,000,000","1,943,945",4.8,"2,415.70",20036,4.8,540.4,25.5,33,4.61,-,0.79,4.38,1,99.4,27,33,-0.64,-0.3,-0.2,-0.8,-1,40.7,32,63.7,60,27,3.52,21.9,50,0.68
Moldova,MDA,51,0.767,48.7,"3,600,000","32,891",13.94,36.6,15637,13.94,284.3,36.3,19,6.39,6.39,0.79,3.96,,100,27,35,-0.21,-0.4,0,-0.332,-0.45,30.7,34.7,61.3,50,38,3.32,4.9,40,0.41
Mongolia,MNG,24.5,0.739,50.6,"3,000,000","1,553,556",1.42,39,12863,1.42,163.4,,,4.94,4.94,,7.08,0.1,98.1,36,48,0.65,-0.5,-0.2,-0.225,-0.53,57.1,37,63.9,50,37.8,,9.9,17,0.66
Montenegro,MNE,41.3,0.832,-,"600,000","13,452",12.43,12.8,22795,12.43,735.2,13.2,45,,-,0.62,18.49,1,100,26,41,-0.15,0,0.4,-0.059,-0.02,43,46.4,57.8,50,46.3,7.15,59.5,25,1.74
Morocco,MAR,50.9,0.683,45.8,"36,000,000","446,300",7.37,281.4,8144,7.37,174.2,2.5,70,6.75,6.75,0.45,11.47,,100,13,24,-0.4,-0.1,-0.1,-0.253,-0.43,32.7,41,59.2,70,31.4,1.96,18.2,23,4.18
Mozambique,MOZ,44.2,0.446,26.7,"30,000,000","786,380",2.22,39.3,1342,2.22,39.5,49,289,6.26,6.26,0.87,3.98,,30.6,14,29,-1.23,-0.8,-0.8,-1.035,-0.81,44.1,26.3,51.3,50,36.2,0.25,79.5,42,1.51
Myanmar,MMR,40,0.585,37,"53,000,000","676,575",-17.98,216.8,4345,-17.98,60,19.1,250,2.14,2.14,,2.17,,70.4,0,9,-2.07,-1.4,-1.1,-1.456,-1.03,16.7,29.8,49.6,20,22.6,0.68,48.3,15,3.33
Namibia,NAM,36.8,0.615,39.1,"2,300,000","823,290",2.43,23.1,9805,2.43,427.3,,195,9.64,9.64,1.61,21.68,,56.3,31,46,0.55,0.1,0,0.362,0.26,67.6,53.9,59.2,40,40.7,1.69,96,44,3
Nepal,NPL,53.1,0.602,41.7,"29,000,000","143,351",4.25,115.1,15103,4.25,53.2,23.8,186,4.39,4.39,4.35,5.05,,89.9,25,32,-0.24,-0.9,-0.6,-0.467,-0.53,34.1,33.8,49.7,30,20.3,0.47,100,33,1.34
Netherlands,NLD,54.9,0.941,80.3,"17,000,000","33,893",5.04,995.2,63767,5.04,5335.3,1.8,5,,-,,4.01,,100,39,58,0.92,1.8,1.8,1.739,2.04,96.9,92.3,79.5,80,45,8.44,29.1,39,1.42
New Zealand,NZL,57.4,0.937,78.6,"4,700,000","264,537",4.65,221.8,46420,4.65,4211,5.7,9,,-,0.41,4.12,,100,40,59,1.44,1.4,1.8,1.818,2.2,95.9,97.5,80.6,80,41,6.83,81,49,1.37
Nicaragua,NIC,55.2,0.667,43.5,"6,000,000","119,990",10.34,38.6,6332,10.34,160.8,3.6,98,4.63,4.63,,5.96,,88.9,5,18,-0.47,-0.9,-0.8,-1.356,-1.24,19.5,19,54.8,50,25.8,0.8,60,51,0.6
Niger,NER,41.4,0.4,-,"21,000,000","1,266,700",1.35,30,1310,1.35,31.4,72.2,509,3.84,3.84,41.03,0.75,15.6,19.3,23,28,-1.62,-0.6,-0.7,-0.405,-0.55,35.9,32.5,54.9,40,30.1,0.09,4.1,26,1.84
Nigeria,NGA,34.1,0.535,26.5,"191,000,000","910,768",3.65,"1,050.50",5459,3.65,71.5,13.8,917,,-,,9.79,9,55.4,20,23,-1.78,-1,-0.9,-0.856,-1.07,33.8,22.7,54.4,40,11,0.57,21,4,0.97
Norway,NOR,50.9,0.961,85.3,"5,000,000","304,282",3.92,355.3,79201,3.92,8007.4,23.6,2,,-,0.01,4.99,0.2,100,40,60,1.1,1.8,1.6,1.95,2.14,97.3,96,76.9,60,48.6,6.72,99,45,1.84
Oman,OMN,-,0.816,62.1,"4,000,000","309,500",-3.2,0,,-3.2,624.7,35.3,19,5.41,5.41,1.63,3.12,,100,6,18,0.51,-0.1,0.3,0.406,0.09,27.1,53.3,56.6,60,50,15.28,0,2,7.34
Pakistan,PAK,45.1,0.544,27.9,"197,000,000","770,875",6.03,"1,204.90",5878,6.03,39.5,12.3,140,2.51,2.51,,4.35,0.6,75.4,15,22,-1.67,-0.4,-0.7,-0.637,-0.79,28.5,27.4,48.8,40,19.8,0.88,33.8,20,3.83
Panama,PAN,57.9,0.805,54.5,"4,000,000","74,340",15.34,126.4,31680,15.34,1192.8,10,52,3.91,3.91,10.51,12.09,0.4,96.7,35,48,0.29,0.2,0.2,-0.247,-0.57,50.7,38,65.4,70,23.1,3.14,66.5,23,
Papua New Guinea,PNG,-,0.558,-,"8,000,000","452,860",1.5,36.9,4445,1.5,65.1,3.7,145,,-,,2.75,,60.4,23,39,-0.58,-0.9,-0.8,-0.74,-0.76,44.2,26.2,54.6,30,24.5,0.86,20.8,0,0.38
Paraguay,PRY,47.6,0.717,46.2,"7,000,000","397,302",4.2,91.8,13976,4.2,388.4,14.2,129,3.3,3.3,,7.21,0.2,100,28,37,0,-0.6,-0.2,-0.557,-1.01,37.9,29.5,62.9,60,24.4,1.17,100,16,0.97
Peru,PER,55.9,0.762,49.3,"32,000,000","1,279,996",13.35,421.9,13895,13.35,370.1,20.9,88,4.25,4.25,,4.83,1.8,99.3,30,42,-0.41,-0.3,0.1,-0.516,-0.63,49.7,39.7,66.5,60,21.9,1.75,61.6,40,1.12
Philippines,PHL,57.1,0.699,44.5,"105,000,000","298,170",5.7,921.8,9120,5.7,142.1,15.7,121,3.88,3.88,3.56,2.41,0.5,96.8,25,30,-0.93,0.1,0.1,-0.642,-0.51,25.6,34.7,61.1,60,18.9,1.35,21.8,28,1.04
Poland,POL,45,0.876,67.7,"38,000,000","304,255",5.73,"1,298.30",37503,5.73,1014,52.4,2,,-,1.14,3.37,0.1,100,34,47,0.51,0.3,0.8,0.445,0.57,54.7,60.6,68.7,70,41.7,7.77,20.4,28,2.12
